No.,Model name,Model code,Average of the total population changes (%)
1,no_infection,M1,228
2,FMD_FD_beta0115,M2,200
3,HS_FD_beta05death005,M3,167
4,LSD_FD_beta0032,M4,155
5,HS_DD_beta0001death005,M5,149
6,HS_DD_beta0002death05,M6,149
7,FMD_DD_beta3e-4,M7,130
8,HS_DD_beta0002death005,M8,127
9,HS_FD_beta03death005,M9,85
10,HS_FD_beta03death05,M10,79
11,Brucellosis_FD_beta00016,M11,60
12,Anthrax_FD_beta001,M12,57
13,HS_FD_beta165death005,M13,55
14,HS_FD_beta100death005,M14,53
15,Anthrax_DD_beta3e-5,M15,51
16,HS_DD_beta03death005,M16,47
17,HS_DD_beta05death005,M17,46
18,LSD_DD_beta1e-4,M18,45
19,HS_DD_beta0001death05,M19,20
20,Brucellosis_DD_beta5e-6,M20,11
21,HS_FD_beta05death05,M21,-48
22,bTB_DD_beta4e-6,M22,-55
23,Brucellosis_DD_beta1e-5,M23,-66
24,FMD_FD_beta7,M24,-71
25,FMD_DD_beta007,M25,-71
26,bTB_FD_beta00014,M26,-74
27,FMD_DD_beta0026,M27,-74
28,FMD_FD_beta21,M28,-78
29,FMD_DD_beta21,M29,-80
30,FMD_FD_beta6552,M30,-83
31,HS_DD_beta03death05,M31,-84
32,bTB_DD_beta2e-5,M32,-85
33,LSD_DD_beta0008,M33,-85
34,HS_FD_beta100death05,M34,-85
35,HS_FD_beta165death05,M35,-85
36,HS_DD_beta05death05,M36,-86
37,bTB_DD_beta27e-5,M37,-86
38,bTB_FD_beta00063,M38,-88
39,LSD_FD_beta2,M39,-88
40,bTB_FD_beta0008,M40,-88
41,bTB_DD_beta00014,M41,-89
42,bTB_FD_beta04,M42,-90
43,Brucellosis_FD_beta5e-3,M43,-97